Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1326.00,11038.00,0.00,1000.00,652
1324.50,11037.00,0.00,1000.00,649
1339.50,11000.00,0.00,1000.00,679
1324.50,10863.00,0.00,1000.00,649
1327.50,10863.00,0.00,1000.00,655
1000.00,10868.00,0.00,1000.00,0
1000.00,11036.00,0.00,1000.00,0
1000.00,11042.00,0.00,1000.00,0
1000.00,10999.00,0.00,1000.00,0
1000.00,11043.00,0.00,1000.00,0
1000.00,11094.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1332.50,11000.00,0.00,1000.00,665
1340.50,10928.00,0.00,1000.00,681
1000.00,10931.00,0.00,1000.00,0
1327.00,11066.00,0.00,1000.00,654
1315.00,11105.00,0.00,1000.00,630
1322.50,11105.00,0.00,1000.00,645
1333.50,11000.00,0.00,1000.00,667
1315.50,10832.00,0.00,1000.00,631
1314.50,10831.00,0.00,1000.00,629
1000.00,10944.00,0.00,1000.00,0
1000.00,11112.00,0.00,1000.00,0
1000.00,11115.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1331.00,11117.00,0.00,1000.00,662
1334.00,11119.00,0.00,1000.00,668
1342.50,11000.00,0.00,1000.00,685
1338.00,10822.00,0.00,1000.00,676
1330.00,11000.00,0.00,1000.00,660
1336.00,10959.00,0.00,1000.00,672
1333.50,11134.00,0.00,1000.00,667
1339.50,11137.00,0.00,1000.00,679
1336.00,11000.00,0.00,1000.00,672
1332.00,10825.00,0.00,1000.00,664
1330.50,10825.00,0.00,1000.00,661
1318.50,10973.00,0.00,1000.00,637
1000.00,10976.00,0.00,1000.00,0
1000.00,11146.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1343.50,10999.00,0.00,1000.00,687
1320.50,10825.00,0.00,1000.00,641
1000.00,10983.00,0.00,1000.00,0
1000.00,11152.00,0.00,1000.00,0
1000.00,11155.00,0.00,1000.00,0
1000.00,10998.00,0.00,1000.00,0
1311.00,11039.00,0.00,1000.00,622
1330.00,11000.00,0.00,1000.00,660
1345.50,11000.00,0.00,1000.00,691
1321.00,11000.00,0.00,1000.00,642
1329.00,11000.00,0.00,1000.00,658
1317.00,10998.00,0.00,1000.00,634
1321.00,11168.00,0.00,1000.00,642
1340.00,11168.00,0.00,1000.00,680
1341.50,11000.00,0.00,1000.00,683
1336.00,10824.00,0.00,1000.00,672
1346.00,10824.00,0.00,1000.00,692
1000.00,10998.00,0.00,1000.00,0
1000.00,11134.00,0.00,1000.00,0
1000.00,11171.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1347.00,11040.00,0.00,1000.00,694
1347.00,11039.00,0.00,1000.00,694
1381.00,11000.00,0.00,1000.00,762
1359.00,10812.00,0.00,1000.00,718
1365.50,10815.00,0.00,1000.00,731
1000.00,10815.00,0.00,1000.00,0
1354.50,11101.00,0.00,1000.00,709
1344.50,11171.00,0.00,1000.00,689
1352.00,11037.00,0.00,1000.00,704
1348.00,11000.00,0.00,1000.00,696
1358.50,10984.00,0.00,1000.00,717
1000.00,10984.00,0.00,1000.00,0
1000.00,11127.00,0.00,1000.00,0
1000.00,11168.00,0.00,1000.00,0
1000.00,11168.00,0.00,1000.00,0
1360.00,11014.00,0.00,1000.00,720
1362.50,11038.00,0.00,1000.00,725
1372.00,10851.00,0.00,1000.00,744
1000.00,10812.00,0.00,1000.00,0
1000.00,10957.00,0.00,1000.00,0
1000.00,10959.00,0.00,1000.00,0
1000.00,11135.00,0.00,1000.00,0
1332.50,11174.00,0.00,1000.00,665
1337.50,11171.00,0.00,1000.00,675
1338.50,11000.00,0.00,1000.00,677
1331.00,10998.00,0.00,1000.00,662
1321.50,11001.00,0.00,1000.00,643
1000.00,11006.00,0.00,1000.00,0
1000.00,11136.00,0.00,1000.00,0
1324.00,11171.00,0.00,1000.00,648
1333.50,11169.00,0.00,1000.00,667
1330.00,10877.00,0.00,1000.00,660
1316.50,11044.00,0.00,1000.00,633
1000.00,11000.00,0.00,1000.00,0
1327.00,11041.00,0.00,1000.00,654
1334.50,11175.00,0.00,1000.00,669
1000.00,11169.00,0.00,1000.00,0
1338.00,11000.00,0.00,1000.00,676
1335.50,11000.00,0.00,1000.00,671
1342.50,10840.00,0.00,1000.00,685
1000.00,10969.00,0.00,1000.00,0
1338.00,11000.00,0.00,1000.00,676
1329.50,11000.00,0.00,1000.00,659
1330.00,11000.00,0.00,1000.00,660
1350.50,11000.00,0.00,1000.00,701
1000.00,10793.00,0.00,1000.00,0
1000.00,10958.00,0.00,1000.00,0
1330.00,10957.00,0.00,1000.00,660
1318.00,11000.00,0.00,1000.00,636
1320.00,11175.00,0.00,1000.00,640
1337.50,10975.00,0.00,1000.00,675
1339.50,11001.00,0.00,1000.00,679
1328.00,10865.00,0.00,1000.00,656
1000.00,10826.00,0.00,1000.00,0
1000.00,10960.00,0.00,1000.00,0
1000.00,10981.00,0.00,1000.00,0
1000.00,10957.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11187.00,0.00,1000.00,0
1328.00,11184.00,0.00,1000.00,656
1305.00,10675.00,0.00,1000.00,610
1322.50,10875.00,0.00,1000.00,645
1000.00,10833.00,0.00,1000.00,0
1306.50,10961.00,0.00,1000.00,613
1301.00,11000.00,0.00,1000.00,602
1314.00,10984.00,0.00,1000.00,628
1307.50,11184.00,0.00,1000.00,615
1318.50,11041.00,0.00,1000.00,637
1316.50,11000.00,0.00,1000.00,633
1322.50,10829.00,0.00,1000.00,645
1000.00,10984.00,0.00,1000.00,0
1000.00,10964.00,0.00,1000.00,0
1307.50,11145.00,0.00,1000.00,615
1330.50,11187.00,0.00,1000.00,661
1337.50,11042.00,0.00,1000.00,675
1343.00,10882.00,0.00,1000.00,686
1337.50,10866.00,0.00,1000.00,675
1349.00,10824.00,0.00,1000.00,698
1000.00,10824.00,0.00,1000.00,0
1000.00,10983.00,0.00,1000.00,0
1000.00,11147.00,0.00,1000.00,0
1000.00,11132.00,0.00,1000.00,0
1330.50,11168.00,0.00,1000.00,661
1340.00,11038.00,0.00,1000.00,680
