1,1.000,1.000,1.000,1.000,1.000,1762807033751
2,1.000,1.000,1.000,1.000,1.000,1762807033751
3,1.000,1.000,1.000,1.000,1.000,1762807033751
1,1.000,1.000,1.000,1.000,1.000,1762807033833
2,1.000,1.000,1.000,1.000,1.000,1762807033833
3,1.000,1.000,1.000,1.000,1.000,1762807033833
1,1.000,1.000,1.000,1.000,1.000,1762807033864
2,1.000,1.000,1.000,1.000,1.000,1762807033864
3,4.800,1.000,1.000,1.000,1.000,1762807033864
1,1.000,1.000,1.000,1.000,1.000,1762807033885
2,1.000,1.000,1.000,1.000,1.000,1762807033885
3,7.840,1.000,1.000,1.004,1.004,1762807033885
1,1.000,1.000,1.000,1.000,1.000,1762807033907
2,1.000,1.000,1.000,1.000,1.000,1762807033907
3,10.272,1.000,1.004,1.257,1.257,1762807033907
1,1.000,1.000,1.000,1.000,1.000,1762807033932
2,1.000,1.000,1.000,1.000,1.000,1762807033932
3,12.218,1.000,1.257,1.745,1.745,1762807033932
1,1.000,1.000,1.000,1.000,1.000,1762807033952
2,1.000,1.000,1.000,1.000,1.000,1762807033952
3,16.774,1.000,1.745,3.879,3.879,1762807033952
1,1.000,1.000,1.000,1.000,1.000,1762807033972
2,1.000,1.000,1.000,1.000,1.000,1762807033972
3,20.419,1.000,3.879,6.588,6.588,1762807033972
1,1.000,1.000,1.000,1.000,1.000,1762807034117
2,1.000,1.000,1.000,1.000,1.000,1762807034117
3,24.135,1.000,6.588,10.265,10.265,1762807034117
1,1.000,1.000,1.000,1.000,1.000,1762807034137
2,1.000,1.000,1.000,1.000,1.000,1762807034137
3,27.108,1.000,10.265,13.872,13.872,1762807034137
1,1.000,1.000,1.000,1.000,1.000,1762807034162
2,1.000,1.000,1.000,1.000,1.000,1762807034162
3,29.487,1.000,13.872,17.184,17.184,1762807034162
1,1.000,1.000,1.000,1.000,1.000,1762807034182
2,1.000,1.000,1.000,1.000,1.000,1762807034182
3,30.789,1.000,17.184,17.993,17.993,1762807034182
1,1.000,1.000,1.000,1.000,1.000,1762807034202
2,1.000,1.000,1.000,1.000,1.000,1762807034202
3,31.831,1.000,17.993,18.186,18.186,1762807034202
1,1.000,1.000,1.000,1.000,1.000,1762807034222
2,1.000,1.000,1.000,1.000,1.000,1762807034222
3,32.665,1.000,18.186,18.451,18.451,1762807034222
1,1.000,1.000,1.000,1.000,1.000,1762807034242
2,1.000,1.000,1.000,1.000,1.000,1762807034242
3,33.332,1.000,18.451,18.733,18.733,1762807034242
1,1.000,1.000,1.000,1.000,1.000,1762807034267
2,1.000,1.000,1.000,1.000,1.000,1762807034267
3,34.666,1.000,18.733,19.487,19.487,1762807034267
1,1.000,1.000,1.000,1.000,1.000,1762807034382
2,1.000,1.000,1.000,1.000,1.000,1762807034382
3,35.933,1.000,19.487,20.436,20.436,1762807034382
1,1.000,1.000,1.000,1.000,1.000,1762807034407
2,1.000,1.000,1.000,1.000,1.000,1762807034407
3,36.946,1.000,20.436,21.358,21.358,1762807034407
1,1.000,1.000,1.000,1.000,1.000,1762807034432
2,1.000,1.000,1.000,1.000,1.000,1762807034432
