Timestamp,SystemLatency
1777323345841,0.0000
1777323345878,66.7000
1777323345903,57.0750
1777323345926,47.0125
1777323345950,44.6987
1777323345993,43.6463
1777323346015,41.9897
1777323346073,47.9496
1777323346096,47.4338
1777323346141,44.6326
1777323346186,42.4453
1777323346210,41.6606
1777323346234,40.2758
1777323346279,38.2872
1777323346304,37.5481
1777323346328,36.5191
1777323346373,35.3601
1777323346398,34.8258
1777323346443,33.9994
1777323346468,33.8995
1777323346513,33.0338
1777323346537,32.9010
1777323346562,32.3627
1777323346608,31.5125
1777323346633,31.2856
1777323346679,30.7677
1777323346723,30.8028
1777323346769,30.7504
1777323346802,30.9254
1777323346828,30.6912
1777323346873,30.1569
1777323346897,28.6144
1777323346942,28.3882
1777323346964,28.1142
1777323346986,27.7824
1777323347028,26.6541
1777323347050,26.2068
1777323347093,25.2755
1777323347117,22.6358
1777323347160,22.1025
1777323347205,21.8344
1777323347228,21.5005
1777323347272,21.4716
1777323347295,21.6338
1777323347339,21.2891
1777323347362,21.5809
1777323347406,21.3241
1777323347430,21.5586
1777323347474,21.1239
1777323347496,21.7877
1777323347538,21.1270
1777323347561,20.8264
1777323347604,20.8045
1777323347626,20.7032
1777323347669,20.0919
1777323347690,20.0540
1777323347732,19.1983
1777323347774,18.2677
1777323347796,18.3630
1777323347838,17.4463
1777323347860,17.5539
1777323347903,17.0559
1777323347926,17.1418
1777323347969,16.8127
1777323348008,16.7557
1777323348032,16.9830
1777323348076,16.9633
1777323348099,17.3098
1777323348142,17.9007
1777323348165,18.1353
1777323348209,17.9670
1777323348259,18.3404
1777323348282,18.3991
1777323348325,17.9337
1777323348346,18.1028
1777323348389,17.5843
1777323348411,17.7278
1777323348454,17.1540
1777323348476,17.0233
1777323348519,16.6702
1777323348541,16.7414
1777323348584,16.8552
1777323348606,16.7430
1777323348649,16.9063
1777323348672,16.9439
1777323348715,16.5899
1777323348737,16.9824
1777323348780,16.8422
1777323348845,16.9362
1777323348867,17.7410
1777323348888,18.2567
1777323348931,18.2328
1777323348953,18.2997
1777323348996,18.0319
1777323349017,18.0174
1777323349060,17.5159
1777323349082,17.4836
1777323349124,17.0997
1777323349167,16.6753
1777323349189,17.1003
1777323349232,16.6980
1777323349254,16.9450
1777323349297,16.6532
1777323349320,17.0424
1777323349363,16.7754
1777323349386,17.2245
1777323349429,17.0433
1777323349452,17.4016
1777323349495,17.1897
1777323349518,17.5372
1777323349561,17.6146
1777323349584,17.6722
1777323349627,17.5208
1777323349650,17.7918
1777323349693,17.5827
1777323349715,18.0836
1777323349759,17.9901
1777323349781,18.3616
1777323349825,18.2319
1777323349847,18.2990
1777323349891,17.0504
1777323349914,17.3341
1777323349959,17.0047
1777323349982,17.3372
1777323350026,17.1192
1777323350049,17.5811
1777323350094,17.5490
1777323350117,18.0717
1777323350161,18.0415
1777323350184,18.2982
1777323350207,17.9961
1777323350251,17.5804
1777323350295,17.7171
1777323350318,17.8442
1777323350341,17.8961
1777323350389,17.4720
1777323350412,17.4444
1777323350456,17.1795
1777323350479,17.5537
1777323350523,17.4163
1777323350546,17.6137
1777323350590,17.3541
1777323350614,17.7486
1777323350658,17.8783
1777323350682,18.1756
1777323350705,18.0843
1777323350748,17.8580
1777323350772,17.7327
1777323350816,17.6501
1777323350839,17.7118
1777323350884,17.5610
1777323350907,17.7600
1777323350952,17.7209
1777323350975,17.8580
1777323351020,17.9229
1777323351043,18.1684
1777323351088,17.9272
1777323351112,18.2895
1777323351136,18.1612
1777323351180,17.6508
1777323351205,17.7045
1777323351249,17.9827
1777323351273,18.1500
1777323351319,18.0295
1777323351343,18.2038
1777323351388,18.5242
1777323351412,18.7409
1777323351440,18.9620
1777323351485,18.7032
1777323351510,19.0833
1777323351534,19.0926
1777323351579,18.9260
1777323351604,18.9195
1777323351648,18.7705
1777323351673,18.8445
1777323351718,18.5528
1777323351743,19.2224
1777323351768,19.2100
1777323351813,19.2142
1777323351838,19.3146
1777323351885,19.3152
1777323351911,19.6761
1777323351935,19.9917
1777323351981,19.8181
1777323352005,20.0714
1777323352051,19.8877
1777323352075,20.1124
1777323352100,20.1095
1777323352145,19.6296
1777323352170,20.0657
1777323352216,19.8890
1777323352240,20.3736
1777323352265,20.2949
1777323352311,19.9585
1777323352336,20.1986
1777323352381,19.8628
1777323352406,20.1399
1777323352431,19.8966
1777323352477,19.8370
1777323352544,21.5339
1777323352566,21.6493
1777323352609,21.7663
1777323352631,21.7891
1777323352674,21.4111
1777323352697,21.5508
1777323352739,20.9925
1777323352762,20.9368
1777323352805,20.9865
1777323352827,20.8940
1777323352870,20.5957
1777323352892,20.2852
1777323352935,19.8628
1777323352958,19.9776
1777323353001,19.4014
1777323353023,19.2725
1777323353066,18.5863
1777323353109,18.4548
1777323353132,18.8817
1777323353175,18.6554
1777323353198,19.0257
1777323353241,18.6657
1777323353263,18.8414
1777323353307,18.8734
1777323353330,19.0525
1777323353375,18.8889
1777323353398,19.0553
1777323353441,18.5843
1777323353464,18.9526
1777323353509,18.7319
1777323353531,18.9029
1777323353575,17.2954
1777323353599,17.2972
1777323353623,17.2154
1777323353668,16.9638
1777323353691,16.8781
1777323353735,16.8731
1777323353758,16.9202
1777323353801,16.8024
1777323353824,16.8789
1777323353868,16.8163
1777323353891,16.8228
1777323353935,16.8303
1777323353958,16.8480
1777323354001,16.8088
1777323354025,16.9492
1777323354069,17.1646
1777323354092,17.2851
1777323354137,16.8693
1777323354160,17.0298
1777323354204,16.5682
1777323354227,16.8010
1777323354271,16.5024
1777323354294,16.6659
1777323354338,16.3184
1777323354361,16.6348
1777323354405,16.4557
1777323354429,16.7224
1777323354451,16.6398
1777323354497,16.2518
1777323354520,16.0546
1777323354564,15.9220
1777323354588,15.9848
1777323354633,15.8848
1777323354656,16.0493
1777323354701,15.7973
1777323354725,16.1998
1777323354770,16.0897
1777323354794,16.6688
1777323354818,16.6955
1777323354863,16.7268
1777323354886,16.7748
1777323354931,16.7646
1777323354955,16.8841
1777323355001,16.9708
1777323355025,17.1057
1777323355050,17.3231
1777323355095,17.0420
1777323355119,17.2875
1777323355164,17.0967
1777323355188,17.4696
1777323355233,17.5354
