Timestamp,SystemTPS,LeaderId
1777323345839,0.00,1
1777323345913,64.00,1
1777323345958,653.00,1
1777323345996,771.00,1
1777323346044,851.00,1
1777323346072,931.00,1
1777323346101,1015.00,1
1777323346140,1104.00,1
1777323346170,2000.00,1
1777323346199,2080.00,1
1777323346246,2160.00,1
1777323346274,2227.00,1
1777323346302,2307.00,1
1777323346331,2387.00,1
1777323346359,2467.00,1
1777323346408,3274.00,1
1777323346436,3354.00,1
1777323346468,3434.00,1
1777323346497,3514.00,1
1777323346546,3594.00,1
1777323346574,3661.00,1
1777323346602,4551.00,1
1777323346630,4631.00,1
1777323346680,4724.00,1
1777323346706,4791.00,1
1777323346732,4884.00,1
1777323346759,4957.00,1
1777323346809,5793.00,1
1777323346837,5860.00,1
1777323346864,5940.00,1
1777323346913,6033.00,1
1777323346940,6113.00,1
1777323346970,6193.00,1
1777323346995,6260.00,1
1777323347018,7115.00,1
1777323347063,7208.00,1
1777323347108,7288.00,1
1777323347134,7355.00,1
1777323347159,7448.00,1
1777323347207,8204.00,1
1777323347233,8271.00,1
1777323347263,8351.00,1
1777323347289,8431.00,1
1777323347335,8524.00,1
1777323347361,8604.00,1
1777323347388,8684.00,1
1777323347434,9594.00,1
1777323347459,9674.00,1
1777323347511,9754.00,1
1777323347537,9831.00,1
1777323347560,9901.00,1
1777323347605,9994.00,1
1777323347629,10794.00,1
1777323347674,10874.00,1
1777323347699,10954.00,1
1777323347744,11034.00,1
1777323347768,11101.00,1
1777323347791,11194.00,1
1777323347836,12000.00,1
1777323347860,12067.00,1
1777323347906,12160.00,1
1777323347931,12240.00,1
1777323347955,12316.00,1
1777323348016,12400.00,1
1777323348043,12467.00,1
1777323348068,13387.00,1
1777323348094,13467.00,1
1777323348140,13560.00,1
1777323348167,13627.00,1
1777323348194,13720.00,1
1777323348258,14394.00,1
1777323348282,14461.00,1
1777323348328,14554.00,1
1777323348353,14634.00,1
1777323348377,14714.00,1
1777323348421,14794.00,1
1777323348445,14874.00,1
1777323348490,15794.00,1
1777323348514,15861.00,1
1777323348558,15954.00,1
1777323348583,16021.00,1
1777323348608,16101.00,1
1777323348654,16194.00,1
1777323348688,17057.00,1
1777323348713,17137.00,1
1777323348738,17217.00,1
1777323348782,17297.00,1
1777323348807,17377.00,1
1777323348866,17457.00,1
1777323348891,17897.00,1
1777323348934,18337.00,1
1777323348958,18417.00,1
1777323348982,18497.00,1
1777323349027,18577.00,1
1777323349050,18657.00,1
1777323349094,19097.00,1
1777323349118,19164.00,1
1777323349162,19668.00,1
1777323349186,19745.00,1
1777323349231,19828.00,1
1777323349255,19908.00,1
1777323349300,19988.00,1
1777323349328,20472.00,1
1777323349354,20912.00,1
1777323349381,21005.00,1
1777323349426,21085.00,1
1777323349451,21152.00,1
1777323349496,21245.00,1
1777323349521,21685.00,1
1777323349568,22134.00,1
1777323349593,22214.00,1
1777323349617,22294.00,1
1777323349663,22374.00,1
1777323349688,22441.00,1
1777323349713,22534.00,1
1777323349758,23394.00,1
1777323349784,23461.00,1
1777323349829,23554.00,1
1777323349854,23634.00,1
1777323349879,23714.00,1
1777323349923,23794.00,1
1777323349948,24237.00,1
1777323349993,24734.00,1
1777323350017,24801.00,1
1777323350062,24894.00,1
1777323350088,24974.00,1
1777323350114,25041.00,1
1777323350161,25494.00,1
1777323350187,25934.00,1
1777323350212,26014.00,1
1777323350259,26094.00,1
1777323350285,26161.00,1
1777323350332,26254.00,1
1777323350358,26321.00,1
1777323350384,26764.00,1
1777323350410,27207.00,1
1777323350458,27300.00,1
1777323350484,27380.00,1
1777323350510,27460.00,1
1777323350559,27540.00,1
1777323350590,28024.00,1
1777323350617,28523.00,1
1777323350643,28616.00,1
1777323350674,28696.00,1
1777323350721,28776.00,1
1777323350747,28843.00,1
1777323350773,28923.00,1
1777323350821,29734.00,1
1777323350847,29814.00,1
1777323350872,29894.00,1
1777323350905,29910.00,1
1777323350955,29785.00,1
1777323350987,29773.00,1
1777323351020,29897.00,1
1777323351049,30008.00,1
1777323351075,29984.00,1
1777323351103,29982.00,1
1777323351152,29951.00,1
1777323351180,29951.00,1
1777323351207,29898.00,1
1777323351255,29954.00,1
1777323351282,29958.00,1
1777323351308,29973.00,1
1777323351335,30007.00,1
1777323351384,29930.00,1
1777323351411,29981.00,1
1777323351438,29943.00,1
1777323351487,29888.00,1
1777323351529,29862.00,1
1777323351557,29888.00,1
1777323351584,29901.00,1
1777323351612,29916.00,1
1777323351642,29914.00,1
1777323351669,29918.00,1
1777323351717,29864.00,1
1777323351744,29864.00,1
1777323351772,29864.00,1
1777323351820,29864.00,1
1777323351852,29870.00,1
1777323351878,29933.00,1
1777323351910,29997.00,1
1777323351939,29997.00,1
1777323351966,29997.00,1
1777323352014,29930.00,1
1777323352042,29933.00,1
1777323352070,29918.00,1
1777323352119,29825.00,1
1777323352147,29825.00,1
1777323352174,29825.00,1
1777323352202,29892.00,1
1777323352250,29825.00,1
1777323352278,29860.00,1
1777323352305,29974.00,1
1777323352333,30038.00,1
1777323352381,29984.00,1
1777323352409,29984.00,1
1777323352437,30051.00,1
1777323352464,29990.00,1
1777323352544,29787.00,1
1777323352571,29777.00,1
1777323352594,29854.00,1
1777323352639,29787.00,1
1777323352664,29841.00,1
1777323352708,29733.00,1
1777323352731,29800.00,1
1777323352775,29752.00,1
1777323352799,29736.00,1
1777323352843,29736.00,1
1777323352867,29723.00,1
1777323352890,29813.00,1
1777323352934,29733.00,1
1777323352958,29747.00,1
1777323353002,29851.00,1
1777323353026,29864.00,1
