Server,AvgCurrentTPS,AvgTokensUsed,AvgProfit,AvgSystemLatency_ms,TotalTransactionsUpgraded,TPSSamples,LatencySamples
0,6974.920093614176,266.5029923102642,471.12704781009694,34.500274674022066,0,5982,5982
1,15744.875902371949,6151.408559642488,1222.1598487452734,119.1368384668271,0,5818,5818
2,6954.455906821963,265.26104825291185,469.11297836938434,35.25612099833611,0,6010,6010
