Timestamp,SystemTPS,LeaderId
1777323957504,0.00,0
1777323957578,128.00,0
1777323957616,256.00,0
1777323957646,560.00,0
1777323957694,960.00,0
1777323957769,1120.00,0
1777323957802,1264.00,0
1777323957829,1347.00,0
1777323957875,2394.00,0
1777323957902,2461.00,0
1777323957949,2554.00,0
1777323957979,2621.00,0
1777323958007,2714.00,0
1777323958036,2781.00,0
1777323958088,3600.00,0
1777323958118,3667.00,0
1777323958146,3747.00,0
1777323958172,3827.00,0
1777323958202,3907.00,0
1777323958230,3987.00,0
1777323958280,4080.00,0
1777323958308,5029.00,0
1777323958336,5109.00,0
1777323958364,5189.00,0
1777323958393,5256.00,0
1777323958441,5349.00,0
1777323958469,5416.00,0
1777323958496,5509.00,0
1777323958539,6281.00,0
1777323958566,6361.00,0
1777323958593,6441.00,0
1777323958641,6534.00,0
1777323958668,6614.00,0
1777323958694,6694.00,0
1777323958739,7594.00,0
1777323958764,7674.00,0
1777323958789,7754.00,0
1777323958835,7834.00,0
1777323958859,7901.00,0
1777323958890,7993.00,0
1777323958936,8800.00,0
1777323958980,8880.00,0
1777323959004,8960.00,0
1777323959029,9040.00,0
1777323959054,9120.00,0
1777323959099,9200.00,0
1777323959123,9280.00,0
1777323959169,10164.00,0
1777323959193,10231.00,0
1777323959220,10311.00,0
1777323959266,10404.00,0
1777323959291,10480.00,0
1777323959348,11194.00,0
1777323959372,11261.00,0
1777323959395,11354.00,0
1777323959419,11434.00,0
1777323959474,11514.00,0
1777323959499,11581.00,0
1777323959525,11661.00,0
1777323959550,11741.00,0
1777323959595,12770.00,0
1777323959620,12850.00,0
1777323959667,12930.00,0
1777323959719,13010.00,0
1777323959743,13090.00,0
1777323959787,13794.00,0
1777323959811,13874.00,0
1777323959834,13954.00,0
1777323959879,14034.00,0
1777323959904,14114.00,0
1777323959950,14194.00,0
1777323959975,14261.00,0
1777323960021,15080.00,0
1777323960047,15160.00,0
1777323960074,15240.00,0
1777323960120,15320.00,0
1777323960145,15400.00,0
1777323960170,15480.00,0
1777323960215,16394.00,0
1777323960241,16461.00,0
1777323960266,16554.00,0
1777323960301,16634.00,0
1777323960347,16714.00,0
1777323960373,16794.00,0
1777323960418,17594.00,0
1777323960443,17674.00,0
1777323960470,17754.00,0
1777323960516,17834.00,0
1777323960541,17901.00,0
1777323960567,17994.00,0
1777323960613,18857.00,0
1777323960638,18924.00,0
1777323960684,19017.00,0
1777323960709,19097.00,0
1777323960734,19177.00,0
1777323960779,19257.00,0
1777323960804,19337.00,0
1777323960849,20194.00,0
1777323960874,20261.00,0
1777323960901,20338.00,0
1777323960946,20434.00,0
1777323960971,20511.00,0
1777323960996,20581.00,0
1777323961043,21394.00,0
1777323961068,21474.00,0
1777323961114,21554.00,0
1777323961139,21621.00,0
1777323961165,21714.00,0
1777323961211,21794.00,0
1777323961236,21861.00,0
1777323961261,22715.00,0
1777323961307,22808.00,0
1777323961332,22875.00,0
1777323961378,22968.00,0
1777323961404,23048.00,0
1777323961430,23128.00,0
1777323961477,23994.00,0
1777323961503,24061.00,0
1777323961537,24154.00,0
1777323961563,24221.00,0
1777323961610,24314.00,0
1777323961636,24394.00,0
1777323961662,24461.00,0
1777323961708,25274.00,0
1777323961733,25354.00,0
1777323961780,25434.00,0
1777323961806,25501.00,0
1777323961833,25581.00,0
1777323961859,25674.00,0
1777323961907,26531.00,0
1777323961932,26598.00,0
1777323961958,26678.00,0
1777323962005,26771.00,0
1777323962032,26851.00,0
1777323962059,26931.00,0
1777323962106,27757.00,0
1777323962132,27824.00,0
1777323962157,27917.00,0
1777323962204,27997.00,0
1777323962230,28064.00,0
1777323962256,28144.00,0
1777323962303,28994.00,0
1777323962330,29074.00,0
1777323962355,29154.00,0
1777323962403,29234.00,0
1777323962430,29314.00,0
1777323962456,29394.00,0
1777323962504,30257.00,0
1777323962530,30324.00,0
1777323962562,30276.00,0
1777323962593,30320.00,0
1777323962621,30308.00,0
1777323962670,30244.00,0
1777323962698,30257.00,0
1777323962727,30226.00,0
1777323962755,30306.00,0
1777323962802,30226.00,0
1777323962829,30200.00,0
1777323962855,30187.00,0
1777323962904,30213.00,0
1777323962932,30007.00,0
1777323962960,30028.00,0
1777323962990,30010.00,0
1777323963017,30036.00,0
1777323963066,30007.00,0
1777323963093,30061.00,0
1777323963135,29978.00,0
1777323963163,29917.00,0
1777323963192,29917.00,0
1777323963223,29930.00,0
1777323963250,29933.00,0
1777323963298,29930.00,0
1777323963325,29930.00,0
1777323963353,30070.00,0
1777323963403,29990.00,0
1777323963433,30044.00,0
1777323963459,30057.00,0
1777323963486,30070.00,0
1777323963535,30070.00,0
1777323963562,30007.00,0
1777323963590,30010.00,0
1777323963620,29997.00,0
1777323963669,29994.00,0
1777323963696,29981.00,0
1777323963723,29994.00,0
1777323963794,29772.00,0
1777323963819,29826.00,0
1777323963863,29804.00,0
1777323963887,29842.00,0
1777323963910,29839.00,0
1777323963954,29852.00,0
1777323963977,29919.00,0
1777323964021,29920.00,0
