Timestamp,SystemLatency
1777324461311,0.0000
1777324461362,0.0000
1777324461415,0.0000
1777324461440,0.0000
1777324461495,197.0000
1777324461526,74.3042
1777324461563,102.3370
1777324461591,94.1700
1777324461636,126.3937
1777324461661,133.8989
1777324461709,154.5215
1777324461741,145.1946
1777324461773,137.1674
1777324461802,130.3533
1777324461851,123.8879
1777324461879,118.9516
1777324461905,114.1483
1777324461931,109.8014
1777324461977,105.4210
1777324462002,102.1784
1777324462027,98.9327
1777324462072,95.4106
1777324462096,92.7460
1777324462141,89.9605
1777324462164,87.7917
1777324462210,85.5388
1777324462239,83.9932
1777324462268,82.4233
1777324462314,80.6717
1777324462339,79.3244
1777324462391,77.8733
1777324462439,75.6450
1777324462463,74.3741
1777324462507,72.7976
1777324462531,71.9187
1777324462555,70.3681
1777324462600,67.3540
1777324462625,63.5214
1777324462672,55.6035
1777324462698,39.0189
1777324462725,31.1601
1777324462751,30.3639
1777324462798,29.5977
1777324462840,30.0245
1777324462865,29.8295
1777324462890,29.1140
1777324462938,28.4741
1777324462963,28.4055
1777324463011,27.6877
1777324463037,27.7021
1777324463063,27.7978
1777324463109,27.2999
1777324463134,27.4179
1777324463160,27.0981
1777324463207,26.3965
1777324463233,25.8291
1777324463287,25.1367
1777324463320,25.7192
1777324463368,24.6759
1777324463394,24.7225
1777324463421,23.6631
1777324463469,23.4007
1777324463496,23.5324
1777324463524,23.4741
1777324463551,22.9839
1777324463600,23.0562
1777324463628,23.2174
1777324463658,23.5140
1777324463686,23.0850
1777324463736,22.8009
1777324463763,23.1787
1777324463791,23.6031
1777324463818,23.4512
1777324463869,22.5924
1777324463897,23.0496
1777324463930,23.5547
1777324463956,23.6588
1777324464002,23.4517
1777324464031,24.0429
1777324464057,24.0284
1777324464084,24.4230
1777324464131,24.1386
1777324464159,24.5210
1777324464188,24.9567
1777324464216,24.7743
1777324464264,24.4318
1777324464295,24.6504
1777324464323,24.2422
1777324464349,24.6117
1777324464396,24.2845
1777324464424,24.4177
1777324464451,24.3070
1777324464498,23.9682
1777324464526,24.2612
1777324464551,24.5242
1777324464598,24.6171
1777324464626,24.7837
1777324464651,24.6609
1777324464699,24.3607
1777324464726,24.9723
1777324464755,25.0347
1777324464784,24.8165
1777324464812,24.6327
1777324464861,24.6081
1777324464893,25.1740
1777324464922,25.0375
1777324464949,25.0178
1777324464997,24.7652
1777324465025,25.3559
1777324465052,25.2724
1777324465121,25.2337
1777324465144,26.5268
1777324465171,26.4124
1777324465217,26.3426
1777324465241,26.6703
1777324465286,26.3210
1777324465310,26.1403
1777324465333,25.9525
1777324465378,25.6844
1777324465403,25.4990
1777324465449,25.0120
1777324465475,25.2744
1777324465501,25.1786
1777324465546,24.5866
1777324465570,24.7539
1777324465613,24.1399
1777324465637,24.1148
1777324465682,24.0383
1777324465706,23.9980
1777324465751,24.1999
1777324465776,24.2230
1777324465800,23.9515
1777324465847,24.3993
1777324465875,24.1320
1777324465919,23.8917
1777324465944,23.9830
1777324465970,23.8096
1777324466020,23.6866
1777324466050,23.6311
1777324466076,23.6712
1777324466102,23.5219
1777324466150,23.2836
1777324466179,22.1702
1777324466209,22.6018
1777324466235,22.5529
1777324466283,22.2215
1777324466312,22.6577
1777324466339,22.8469
1777324466387,23.3274
1777324466416,23.9100
1777324466443,24.5224
1777324466471,24.5592
1777324466523,24.5573
1777324466552,25.4722
1777324466580,25.7920
1777324466609,26.3835
1777324466658,26.3886
1777324466687,27.2139
1777324466717,27.5090
1777324466746,27.4505
1777324466810,29.2436
1777324466834,29.4364
1777324466859,29.0514
1777324466904,29.0021
1777324466930,28.8992
1777324466976,28.6984
1777324467001,29.0488
1777324467027,28.6728
1777324467074,27.8667
1777324467099,28.1303
1777324467124,27.9462
1777324467171,27.9445
1777324467197,27.9460
1777324467244,27.5489
1777324467270,28.2731
1777324467298,28.2047
1777324467323,28.2072
1777324467369,27.8652
1777324467395,27.7487
1777324467442,27.3656
1777324467468,27.6383
1777324467494,27.8174
1777324467541,27.4276
1777324467568,27.0653
1777324467595,26.9917
1777324467621,26.7538
1777324467668,26.3154
1777324467695,25.7897
1777324467721,25.2084
1777324467769,24.5647
1777324467795,24.3824
1777324467822,23.2362
1777324467871,22.4393
1777324467897,23.1493
1777324467923,22.9643
1777324467971,23.0539
1777324467999,23.2614
1777324468027,23.4149
1777324468073,23.5801
1777324468097,23.8654
1777324468126,23.9270
1777324468174,24.0602
1777324468228,24.3307
1777324468254,25.5118
1777324468281,26.2181
1777324468309,26.7482
1777324468338,27.1349
1777324468398,27.7413
1777324468423,29.1320
1777324468448,29.1425
1777324468495,28.6489
1777324468519,29.1162
1777324468548,29.1707
1777324468573,28.8100
1777324468625,28.7825
1777324468651,29.4056
1777324468678,29.2349
1777324468725,28.9744
1777324468752,29.9615
1777324468803,29.9781
1777324468830,31.0345
1777324468857,31.8651
1777324468886,31.9788
1777324468912,32.2300
1777324468938,32.4061
1777324468985,31.8338
1777324469014,31.7324
1777324469040,32.1513
1777324469079,32.7101
1777324469108,32.7947
1777324469137,32.4667
1777324469207,32.5784
1777324469239,33.5377
1777324469270,33.4150
1777324469302,33.4104
1777324469351,33.1870
1777324469378,33.0739
1777324469407,32.7952
1777324469435,31.4932
1777324469482,30.9017
1777324469510,31.2017
1777324469540,31.0262
1777324469568,30.7302
1777324469617,30.9822
1777324469646,31.0094
1777324469672,30.7853
1777324469699,30.6906
1777324469747,30.7432
1777324469774,30.6915
1777324469802,30.3970
1777324469833,29.7277
1777324469881,29.0119
1777324469907,28.8547
1777324469934,29.1469
1777324470010,30.2563
1777324470033,31.9079
1777324470057,31.5164
1777324470082,31.2514
1777324470128,32.1747
1777324470155,32.1935
1777324470202,32.0630
1777324470228,31.7144
1777324470253,30.6355
1777324470300,29.5795
1777324470325,28.3227
1777324470352,28.3070
1777324470400,28.0030
1777324470426,28.2164
1777324470453,28.3773
1777324470500,28.4808
1777324470530,28.6519
1777324470557,29.1885
1777324470584,29.5139
1777324470632,29.2004
1777324470659,29.1931
1777324470685,29.5493
1777324470712,29.7527
1777324470760,29.2917
1777324470785,29.2079
1777324470810,29.1563
1777324470855,28.7396
1777324470881,28.9743
1777324470928,28.6258
1777324470954,28.1473
1777324470978,27.7964
1777324471024,27.3934
1777324471050,25.7926
1777324471075,25.5629
1777324471120,24.7931
1777324471148,24.3240
1777324471196,24.1881
1777324471223,24.1056
1777324471250,24.3063
1777324471278,24.4660
1777324471327,24.0928
1777324471355,24.0531
1777324471383,24.1358
1777324471411,23.9254
1777324471459,23.9098
1777324471485,24.3890
1777324471512,24.0734
1777324471560,23.8031
1777324471587,23.9469
1777324471615,24.0322
1777324471641,23.8936
1777324471690,24.8243
1777324471717,25.3749
1777324471744,25.3297
1777324471793,25.4254
1777324471820,26.4825
1777324471848,26.6249
1777324471877,26.6564
1777324471926,26.6127
1777324471952,26.6926
1777324471979,26.4924
1777324472083,27.0345
1777324472110,28.4780
1777324472156,27.9534
1777324472179,28.5568
1777324472224,28.0350
1777324472249,27.9909
1777324472274,27.6772
1777324472320,27.2326
1777324472345,27.6869
1777324472370,27.6611
1777324472416,28.0448
1777324472442,27.8995
1777324472489,27.4886
1777324472514,27.5501
1777324472540,27.7459
1777324472588,27.4331
1777324472616,27.4404
1777324472641,27.1866
1777324472667,26.5619
1777324472714,26.2120
1777324472760,26.3138
1777324472785,26.7266
1777324472812,26.6638
1777324472840,26.4228
1777324472882,26.4048
1777324472908,26.6670
1777324472935,26.3309
1777324472990,26.1894
1777324473018,26.7701
1777324473045,26.8662
1777324473094,26.7911
1777324473123,26.3241
1777324473152,27.1672
1777324473181,27.3845
1777324473209,27.7147
1777324473238,27.5541
1777324473266,27.7502
1777324473317,28.9852
1777324473345,29.1990
1777324473374,29.4293
1777324473403,29.5860
1777324473452,29.0493
1777324473481,29.7458
1777324473510,29.8094
1777324473560,29.9470
1777324473588,30.7180
1777324473618,31.0223
1777324473648,31.9311
1777324473677,32.1748
1777324473707,31.9662
1777324473737,31.9090
1777324473788,31.6763
1777324473817,31.8514
1777324473848,32.2809
1777324473880,32.6304
1777324473911,32.6693
1777324473942,33.4126
1777324473972,33.4679
1777324474002,33.4532
1777324474076,34.9041
1777324474099,34.5041
1777324474146,34.3150
1777324474171,34.1371
1777324474196,33.6591
1777324474241,33.0918
1777324474266,33.1571
1777324474312,32.4422
1777324474337,32.3076
1777324474363,32.1455
1777324474408,31.9116
1777324474433,32.1713
1777324474479,31.7428
1777324474506,31.4579
1777324474532,31.5820
1777324474578,31.0344
1777324474604,30.7761
1777324474631,30.4492
1777324474679,29.8153
1777324474705,29.3940
1777324474730,29.4161
1777324474777,29.2244
1777324474804,29.2596
1777324474829,28.6490
1777324474875,28.2494
1777324474901,28.2099
1777324474929,28.0232
1777324474975,27.5695
1777324475001,27.5688
