Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777266734143,583.00,0.00,260000.00,593.10,525
1777266734182,607.00,0.00,260000.00,593.10,525
1777266734213,593.00,0.00,260000.00,593.56,525
1777266734245,593.00,0.00,260000.00,594.94,525
1777266734280,1193.00,0.00,260000.00,1186.66,1050
1777266734354,1195.00,10.00,260000.00,678.60,0
1777266734378,605.00,124.00,260000.00,339.30,0
1777266734423,602.00,221.00,260000.00,339.30,0
1777266734448,578.00,324.00,260000.00,339.30,0
1777266734497,641.00,477.00,260000.00,339.30,0
1777266734526,586.00,590.00,260000.00,339.30,0
1777266734554,604.00,703.00,260000.00,339.30,0
1777266734611,1214.00,840.00,260000.00,678.60,0
1777266734656,629.00,960.00,260000.00,339.30,0
1777266734680,605.00,1020.00,260000.00,339.30,0
1777266734724,598.00,1077.00,260000.00,339.30,0
1777266734751,578.00,1137.00,260000.00,339.30,0
1777266734793,609.00,1200.00,260000.00,339.30,0
1777266734824,606.00,1260.00,260000.00,339.30,0
1777266734865,608.00,1320.00,260000.00,339.30,0
1777266734896,589.00,1380.00,260000.00,339.30,0
1777266734927,573.00,1440.00,260000.00,339.30,0
1777266734956,599.00,1500.00,260000.00,339.30,0
1777266734982,591.00,1560.00,260000.00,339.30,0
1777266735033,608.00,1620.00,260000.00,339.30,0
1777266735063,599.00,1677.00,260000.00,339.30,0
1777266735111,602.00,1740.00,260000.00,339.30,0
1777266735140,603.00,1800.00,260000.00,339.30,0
1777266735169,616.00,1860.00,260000.00,339.30,0
1777266735198,605.00,1920.00,260000.00,339.30,0
1777266735226,605.00,1980.00,260000.00,339.30,0
1777266735276,603.00,2037.00,260000.00,339.30,0
1777266735305,611.00,2097.00,260000.00,339.30,0
1777266735335,614.00,2157.00,260000.00,339.30,0
1777266735381,608.00,2220.00,260000.00,339.30,0
1777266735406,605.00,2280.00,260000.00,339.30,0
1777266735431,606.00,2340.00,260000.00,339.30,0
1777266735457,598.00,2400.00,260000.00,339.30,0
1777266735504,595.00,2460.00,260000.00,339.30,0
1777266735531,601.00,2520.00,260000.00,339.30,0
