Timestamp,SystemLatency
1777266734114,0.0000
1777266734168,0.0000
1777266734194,0.0000
1777266734225,0.0000
1777266734255,0.0000
1777266734290,0.0000
1777266734352,184.1739
1777266734398,95.4820
1777266734422,94.1623
1777266734448,111.4229
1777266734496,145.4630
1777266734525,165.3095
1777266734554,167.6602
1777266734608,155.2612
1777266734639,148.0684
1777266734669,141.8415
1777266734702,136.2684
1777266734735,131.3956
1777266734765,126.8644
1777266734794,122.5880
1777266734836,118.7008
1777266734865,115.3668
1777266734895,111.7235
1777266734925,108.4810
1777266734955,105.2192
1777266734987,102.1421
1777266735039,99.3277
1777266735080,97.2338
1777266735103,95.4224
1777266735126,93.0003
1777266735172,90.5081
1777266735201,88.6769
1777266735230,86.8060
1777266735279,84.9449
1777266735308,83.6166
1777266735337,82.3186
1777266735364,80.2741
1777266735389,78.6433
1777266735435,76.3348
1777266735462,72.4467
1777266735487,64.4695
1777266735533,56.2421
1777266735558,36.1764
1777266735585,32.2637
1777266735654,30.8851
1777266735686,30.3404
1777266735731,29.3170
1777266735757,28.6747
1777266735783,27.9481
1777266735830,27.1100
1777266735857,26.1482
1777266735885,25.8219
1777266735932,25.2300
1777266735958,25.2562
1777266735986,25.0967
1777266736033,24.8036
1777266736060,24.9573
1777266736089,24.4637
1777266736115,23.7557
1777266736163,23.8222
1777266736190,23.6899
1777266736217,23.5358
1777266736265,23.3739
1777266736292,23.6052
1777266736322,23.2912
1777266736352,22.9082
1777266736380,22.4355
1777266736428,22.7811
1777266736452,22.9404
1777266736478,22.7622
1777266736525,22.5422
1777266736553,23.0589
1777266736580,22.8788
1777266736609,23.2215
1777266736660,22.8915
1777266736688,22.7769
1777266736712,23.0764
1777266736758,22.8420
1777266736783,22.8964
1777266736809,23.0605
1777266736855,22.8886
1777266736883,22.7783
1777266736934,23.1407
1777266736965,23.6594
1777266736994,24.3373
1777266737024,25.0573
1777266737052,25.3137
1777266737079,25.3031
1777266737130,25.1791
1777266737158,26.1596
1777266737183,26.3528
1777266737230,26.4694
1777266737257,27.2661
1777266737283,27.4033
1777266737309,27.3600
1777266737336,27.2582
1777266737383,27.0927
1777266737410,27.4256
1777266737439,27.2096
1777266737489,26.9083
1777266737519,27.8939
1777266737548,27.9986
1777266737592,28.6423
1777266737617,28.9598
1777266737641,29.4873
1777266737665,29.5466
1777266737712,29.9337
1777266737737,30.1853
1777266737783,29.8329
1777266737808,30.0742
1777266737833,30.3594
1777266737864,30.1167
1777266737913,29.7865
1777266737941,29.7589
1777266737969,29.1687
1777266738015,28.5243
1777266738038,28.2446
1777266738062,27.9088
1777266738107,27.4189
1777266738139,27.0960
1777266738163,26.6336
1777266738208,26.0984
1777266738234,26.0674
1777266738259,25.3287
1777266738306,24.5714
1777266738331,24.4523
1777266738378,25.2264
1777266738404,25.3999
1777266738430,25.3345
1777266738477,25.4839
1777266738503,25.2711
1777266738530,25.2497
1777266738561,24.9786
1777266738608,24.5334
1777266738634,24.1922
1777266738665,23.9635
1777266738690,23.3280
1777266738737,23.0946
1777266738763,23.4508
1777266738791,23.3469
1777266738839,22.9349
1777266738867,23.2857
1777266738894,23.6039
1777266738941,23.4049
1777266738966,23.4154
1777266738992,23.5228
1777266739039,23.3291
1777266739065,23.5217
1777266739092,23.6798
1777266739125,23.6080
1777266739198,23.4837
1777266739226,24.2836
1777266739271,24.1949
1777266739296,24.7627
1777266739321,24.7457
1777266739366,24.2840
1777266739392,23.6514
1777266739438,23.3561
1777266739463,23.6840
1777266739488,23.3241
1777266739534,22.8812
1777266739560,23.0290
1777266739606,23.7243
1777266739634,24.2239
1777266739661,24.9329
1777266739690,25.4555
1777266739736,25.4082
1777266739762,25.2622
1777266739787,25.0237
1777266739832,25.3542
1777266739857,25.2374
1777266739905,25.5333
1777266739930,25.9317
1777266739958,25.8365
1777266740006,25.4415
1777266740036,26.0337
1777266740067,26.2614
1777266740094,26.9669
1777266740123,27.5563
1777266740175,27.7855
1777266740208,28.2310
1777266740236,28.2742
1777266740265,28.7930
1777266740297,28.8243
1777266740325,29.4365
1777266740353,29.7218
1777266740401,30.5221
1777266740434,31.0951
1777266740464,31.4054
1777266740494,31.6315
1777266740526,32.0753
1777266740557,31.8306
1777266740607,31.6681
1777266740635,31.2562
1777266740754,30.9330
1777266740779,34.1545
1777266740805,37.7070
1777266740849,37.2048
1777266740874,37.0534
1777266740899,36.8814
1777266740947,36.7112
1777266740976,36.9744
1777266741001,37.1918
1777266741048,37.3531
1777266741079,37.4949
1777266741110,37.6970
1777266741142,37.5915
1777266741174,37.8804
1777266741234,37.8364
1777266741260,38.5276
1777266741288,38.7600
1777266741320,39.2835
1777266741353,39.8824
1777266741383,40.1422
1777266741413,40.0055
1777266741445,39.6294
1777266741475,39.2943
1777266741508,39.4902
1777266741540,40.5458
1777266741573,40.2543
1777266741628,41.3301
1777266741661,42.0388
1777266741698,42.1758
1777266741729,41.5164
1777266741782,38.9817
1777266741813,37.7806
1777266741846,37.7430
1777266741876,37.7813
1777266741908,38.3858
1777266741940,38.5785
1777266741972,38.5311
1777266742002,38.7540
1777266742031,38.5830
1777266742063,38.2045
1777266742095,37.3936
1777266742149,36.6587
1777266742179,36.8792
1777266742210,37.0673
1777266742240,36.7961
1777266742270,36.1889
1777266742339,35.7129
1777266742373,35.1074
1777266742398,34.4166
1777266742447,34.0797
1777266742478,34.1543
1777266742505,34.0039
1777266742535,33.8516
1777266742564,34.0850
1777266742614,33.8980
1777266742638,33.9811
1777266742663,33.4823
1777266742713,32.8454
1777266742743,32.7370
1777266742774,33.0721
1777266742799,32.4935
1777266742843,31.8615
1777266742887,31.6501
1777266742913,31.5940
1777266742942,31.6332
1777266742974,32.0923
1777266743002,32.4245
1777266743047,32.8710
1777266743071,33.0738
1777266743098,33.0790
1777266743128,33.2563
1777266743179,32.9887
1777266743211,32.9068
1777266743244,32.9460
1777266743297,33.0314
1777266743330,33.8466
1777266743361,33.6851
1777266743394,34.3539
1777266743443,35.7719
1777266743476,35.9980
1777266743504,36.0865
1777266743533,36.0790
1777266743565,36.0945
1777266743595,35.1947
1777266743628,34.3439
1777266743661,33.3538
1777266743693,33.8206
1777266743741,33.6756
1777266743774,33.7527
1777266743805,33.7687
1777266743836,33.9558
1777266743869,34.0351
1777266743901,33.9949
1777266743951,34.0208
1777266743982,34.0040
1777266744017,34.0893
1777266744049,34.2796
1777266744081,34.7151
1777266744110,35.6143
1777266744138,36.2442
1777266744167,36.2649
1777266744197,36.0440
1777266744246,35.6532
1777266744273,35.8858
1777266744300,35.9449
1777266744329,35.7693
1777266744357,36.5467
1777266744384,36.8543
1777266744436,36.8811
1777266744502,37.1316
1777266744525,37.7698
1777266744551,37.7773
1777266744576,37.5131
1777266744625,37.2540
1777266744654,37.5409
1777266744683,37.6920
1777266744709,38.4957
1777266744756,38.4749
1777266744783,38.5486
1777266744810,39.5928
1777266744860,41.1535
1777266744888,42.0639
1777266744915,42.5739
1777266744942,42.5892
1777266744991,42.1946
1777266745017,42.1118
1777266745045,42.1792
1777266745095,41.8966
1777266745125,41.5395
1777266745154,42.2981
1777266745185,42.1600
1777266745213,41.9957
1777266745264,41.9278
1777266745296,41.9763
1777266745325,41.6934
1777266745352,41.0761
1777266745399,41.0282
1777266745427,41.0217
1777266745454,40.7525
1777266745485,39.8402
1777266745515,40.0634
1777266745543,40.7400
1777266745575,40.6445
1777266745631,41.1828
1777266745661,41.5140
1777266745691,41.8953
1777266745721,41.7137
1777266745752,41.4111
1777266745784,41.3182
1777266745816,41.0062
1777266745867,39.7682
1777266745901,38.6963
1777266745932,38.4782
1777266745973,38.3424
1777266746004,38.9148
1777266746037,39.1459
1777266746069,39.1450
1777266746121,39.6138
1777266746150,39.3769
1777266746200,40.8860
1777266746227,41.4418
1777266746255,41.9778
1777266746328,41.6725
1777266746358,42.9332
1777266746388,43.7095
1777266746416,44.0512
1777266746467,44.2788
1777266746569,44.0852
1777266746598,46.2027
1777266746630,48.6460
1777266746659,48.1894
1777266746708,48.2859
1777266746737,48.5333
1777266746829,53.7813
1777266746857,53.7385
1777266746904,52.4654
1777266746933,52.0827
1777266746958,51.2289
1777266747003,50.1670
1777266747030,49.4318
1777266747060,48.7057
1777266747109,47.8621
1777266747136,47.3884
1777266747165,46.7982
1777266747214,45.0208
1777266747244,45.1332
1777266747272,45.9115
1777266747299,45.6533
