Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777266734142,1987.00,0.00,260000.00,4800.00,575
1777266734185,783.00,51.00,260000.00,2265.00,0
1777266734221,774.00,115.00,260000.00,2265.00,0
1777266734250,789.00,179.00,260000.00,2265.00,0
1777266734287,1625.00,243.00,260000.00,4530.00,0
1777266734337,795.00,454.00,258678.13,2265.00,0
1777266734368,789.00,560.00,260000.00,2265.00,0
1777266734395,797.00,640.00,260000.00,2265.00,0
1777266734422,786.00,707.00,260000.00,2265.00,0
1777266734454,797.00,800.00,259245.39,2265.00,0
1777266734488,807.00,880.00,258996.75,2265.00,0
1777266734521,765.00,960.00,259531.15,2265.00,0
1777266734563,800.00,1040.00,260000.00,2265.00,0
1777266734612,1587.00,1120.00,258655.24,4530.00,0
1777266734649,820.00,1280.00,259676.01,2265.00,0
1777266734677,852.00,1347.00,258540.21,2265.00,0
1777266734724,780.00,1440.00,260000.00,2265.00,0
1777266734759,825.00,1520.00,260000.00,2265.00,0
1777266734795,833.00,1600.00,260000.00,2265.00,0
1777266734835,814.00,1667.00,260000.00,2265.00,0
1777266734866,772.00,1747.00,260000.00,2265.00,0
1777266734903,797.00,1840.00,260000.00,2265.00,0
1777266734942,805.00,1920.00,260000.00,2265.00,0
1777266734981,794.00,2000.00,260000.00,2265.00,0
1777266735014,824.00,2067.00,260000.00,2265.00,0
1777266735049,826.00,2147.00,260000.00,2265.00,0
1777266735086,808.00,2227.00,260000.00,2265.00,0
1777266735119,814.00,2320.00,260000.00,2265.00,0
1777266735151,785.00,2400.00,260000.00,2265.00,0
1777266735185,813.00,2480.00,260000.00,2265.00,0
1777266735218,816.00,2547.00,260000.00,2265.00,0
1777266735251,809.00,2627.00,260000.00,2265.00,0
1777266735284,812.00,2707.00,260000.00,2265.00,0
1777266735315,798.00,2787.00,260000.00,2265.00,0
1777266735356,805.00,2867.00,260000.00,2265.00,0
1777266735385,808.00,2960.00,260000.00,2265.00,0
1777266735413,819.00,3040.00,260000.00,2265.00,0
1777266735441,807.00,3120.00,260000.00,2265.00,0
1777266735468,800.00,3200.00,260000.00,2265.00,0
1777266735505,815.00,3280.00,260000.00,2265.00,0
1777266735531,809.00,3360.00,260000.00,2265.00,0
1777266735561,778.00,3440.00,259664.58,2265.00,0
1777266735591,816.00,3520.00,259141.16,2265.00,0
1777266735663,1614.00,3600.00,259658.41,4530.00,0
1777266735694,817.00,3760.00,260000.00,2265.00,0
1777266735721,793.00,3840.00,260000.00,2265.00,0
1777266735749,781.00,3920.00,259089.15,2265.00,0
1777266735799,789.00,4000.00,260000.00,2265.00,0
1777266735830,809.00,4080.00,260000.00,2265.00,0
