Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777263215452,1935.00,0.00,258697.46,4800.00,575
1777263215511,1580.00,51.00,260000.00,4530.00,0
1777263215556,1609.00,179.00,259499.00,4530.00,0
1777263215594,840.00,338.00,260000.00,2265.00,0
1777263215636,783.00,446.00,258168.80,2265.00,0
1777263215671,803.00,557.00,260000.00,2265.00,0
1777263215704,803.00,640.00,260000.00,2265.00,0
1777263215736,804.00,707.00,260000.00,2265.00,0
1777263215772,794.00,787.00,260000.00,2265.00,0
1777263215801,774.00,867.00,260000.00,2265.00,0
1777263215828,805.00,947.00,260000.00,2265.00,0
1777263215856,779.00,1027.00,260000.00,2265.00,0
1777263215883,812.00,1107.00,258731.50,2265.00,0
1777263215942,790.00,1200.00,260000.00,2265.00,0
1777263215977,802.00,1280.00,260000.00,2265.00,0
1777263216024,783.00,1347.00,260000.00,2265.00,0
1777263216059,795.00,1440.00,260000.00,2265.00,0
1777263216088,1570.00,1520.00,260000.00,4530.00,0
1777263216130,782.00,1680.00,260000.00,2265.00,0
1777263216158,812.00,1747.00,260000.00,2265.00,0
1777263216195,795.00,1827.00,260000.00,2265.00,0
1777263216227,800.00,1907.00,260000.00,2265.00,0
1777263216263,795.00,1987.00,260000.00,2265.00,0
1777263216299,804.00,2080.00,260000.00,2265.00,0
1777263216335,811.00,2160.00,260000.00,2265.00,0
1777263216368,803.00,2227.00,260000.00,2265.00,0
1777263216405,798.00,2307.00,260000.00,2265.00,0
1777263216440,781.00,2387.00,260000.00,2265.00,0
1777263216490,798.00,2480.00,260000.00,2265.00,0
1777263216529,1516.00,2547.00,259680.46,4530.00,0
1777263216568,816.00,2694.00,260000.00,2265.00,0
1777263216603,812.00,2800.00,260000.00,2265.00,0
1777263216635,795.00,2880.00,260000.00,2265.00,0
1777263216665,800.00,2947.00,260000.00,2265.00,0
1777263216693,820.00,3027.00,260000.00,2265.00,0
1777263216723,792.00,3120.00,260000.00,2265.00,0
1777263216756,784.00,3200.00,260000.00,2265.00,0
1777263216790,792.00,3267.00,260000.00,2265.00,0
1777263216818,765.00,3347.00,259382.12,2265.00,0
1777263216847,807.00,3427.00,259603.03,2265.00,0
1777263216875,823.00,3507.00,258316.75,2265.00,0
1777263216924,790.00,3600.00,260000.00,2265.00,0
1777263216968,794.00,3667.00,260000.00,2265.00,0
1777263216995,791.00,3747.00,260000.00,2265.00,0
1777263217021,790.00,3827.00,259177.28,2265.00,0
1777263217069,791.00,3920.00,260000.00,2265.00,0
1777263217097,809.00,3992.00,260000.00,2265.00,0
1777263217122,810.00,4067.00,259852.99,2265.00,0
1777263217169,785.00,4160.00,260000.00,2265.00,0
1777263217195,805.00,4240.00,260000.00,2265.00,0
1777263217222,793.00,4320.00,259783.61,2265.00,0
1777263217272,1470.00,4400.00,260000.00,2505.00,320
1777263217297,1447.00,4451.00,260000.00,2505.00,320
1777263217323,1443.00,4531.00,260000.00,2505.00,320
1777263217396,2812.00,4640.00,260000.00,5010.00,640
1777263217423,1486.00,4778.00,260000.00,2505.00,320
1777263217448,1416.00,4851.00,258611.72,2505.00,320
