Timestamp,SystemLatency
1777263215430,0.0000
1777263215495,107.2510
1777263215548,83.9475
1777263215589,82.4808
1777263215633,83.4599
1777263215669,77.9036
1777263215697,72.4384
1777263215730,68.6393
1777263215762,65.5311
1777263215799,62.8058
1777263215826,60.2505
1777263215854,57.7363
1777263215881,55.4437
1777263215932,52.7503
1777263215970,51.9917
1777263216004,51.4120
1777263216051,52.0896
1777263216084,52.4074
1777263216128,51.7932
1777263216155,50.8554
1777263216186,49.9136
1777263216222,49.1425
1777263216257,48.4353
1777263216293,47.8035
1777263216331,47.3027
1777263216365,46.8958
1777263216400,46.7043
1777263216436,46.6168
1777263216483,46.4927
1777263216520,45.5725
1777263216562,44.4213
1777263216597,42.1615
1777263216632,40.4039
1777263216663,39.5812
1777263216691,39.3815
1777263216719,39.5419
1777263216752,39.1568
1777263216788,38.8676
1777263216816,39.0248
1777263216845,38.6554
1777263216873,38.9354
1777263216922,39.0109
1777263216965,39.1107
1777263216993,38.9038
1777263217020,38.4871
1777263217065,37.0051
1777263217094,36.0179
1777263217121,35.5905
1777263217168,34.9153
1777263217193,34.9536
1777263217220,34.7170
1777263217268,34.3074
1777263217296,34.3472
1777263217322,34.5115
1777263217388,34.3377
1777263217421,35.0811
1777263217447,34.7554
1777263217493,34.1101
1777263217526,33.4287
1777263217553,32.5504
1777263217582,31.6131
1777263217633,31.0410
1777263217664,30.9344
1777263217695,30.9332
1777263217726,31.0000
1777263217760,31.3375
1777263217790,31.6482
1777263217821,31.6761
1777263217852,31.8642
1777263217883,32.0156
1777263217913,32.2138
1777263217947,31.8769
1777263217979,31.2711
1777263218008,30.8931
1777263218067,30.5121
1777263218116,32.0400
1777263218152,33.4261
1777263218182,33.4162
1777263218211,33.4679
1777263218264,33.5223
1777263218298,33.8622
1777263218333,34.0185
1777263218365,34.4601
1777263218398,34.7208
1777263218434,34.4629
1777263218471,34.8578
1777263218506,35.8489
1777263218541,36.7721
1777263218577,37.7519
1777263218610,38.4993
1777263218649,38.9415
1777263218682,39.4723
1777263218718,39.2923
1777263218753,39.0401
1777263218792,38.9494
1777263218830,39.0486
1777263218867,40.0711
1777263218903,40.8740
1777263218937,41.6149
