Timestamp,SystemTPS,LeaderId
1777321123457,0.00,1
1777321123544,64.00,1
1777321123596,280.00,1
1777321123626,348.00,1
1777321123660,454.00,1
1777321123687,1324.00,1
1777321123725,1404.00,1
1777321123754,1497.00,1
1777321123784,1577.00,1
1777321123813,1644.00,1
1777321123844,1737.00,1
1777321123891,1817.00,1
1777321123919,2781.00,1
1777321123948,2874.00,1
1777321123978,2954.00,1
1777321124027,3034.00,1
1777321124057,3114.00,1
1777321124089,3194.00,1
1777321124121,4000.00,1
1777321124158,4080.00,1
1777321124188,4160.00,1
1777321124236,4240.00,1
1777321124282,4400.00,1
1777321124310,4467.00,1
1777321124341,5387.00,1
1777321124375,5467.00,1
1777321124409,5547.00,1
1777321124440,5627.00,1
1777321124471,5720.00,1
1777321124504,5800.00,1
1777321124539,6600.00,1
1777321124572,6680.00,1
1777321124604,6760.00,1
1777321124635,6840.00,1
1777321124666,6907.00,1
1777321124716,7000.00,1
1777321124744,7800.00,1
1777321124771,7880.00,1
1777321124819,7960.00,1
1777321124847,8040.00,1
1777321124880,8120.00,1
1777321124909,8187.00,1
1777321124938,8279.00,1
1777321124979,9086.00,1
1777321125005,9153.00,1
1777321125032,9233.00,1
1777321125077,9326.00,1
1777321125104,9406.00,1
1777321125153,9486.00,1
1777321125180,9553.00,1
1777321125205,10566.00,1
1777321125259,10646.00,1
1777321125286,10726.00,1
1777321125312,10806.00,1
1777321125361,10886.00,1
1777321125390,10953.00,1
1777321125422,11730.00,1
1777321125453,11810.00,1
1777321125484,11890.00,1
1777321125514,11970.00,1
1777321125543,12050.00,1
1777321125593,12143.00,1
1777321125625,12994.00,1
1777321125655,13074.00,1
1777321125684,13154.00,1
1777321125719,13234.00,1
1777321125751,13314.00,1
1777321125781,13381.00,1
1777321125811,13461.00,1
1777321125842,14261.00,1
1777321125873,14341.00,1
1777321125920,14434.00,1
1777321125947,14514.00,1
1777321125975,14594.00,1
1777321126024,14674.00,1
1777321126055,15524.00,1
1777321126087,15604.00,1
1777321126120,15684.00,1
1777321126152,15764.00,1
1777321126186,15857.00,1
1777321126217,15937.00,1
1777321126248,16800.00,1
1777321126279,16880.00,1
1777321126308,16960.00,1
1777321126342,17040.00,1
1777321126373,17120.00,1
1777321126404,17200.00,1
1777321126442,17280.00,1
1777321126477,18094.00,1
1777321126509,18174.00,1
1777321126543,18267.00,1
1777321126578,18347.00,1
1777321126611,18427.00,1
1777321126643,18507.00,1
1777321126672,19337.00,1
1777321126703,19417.00,1
1777321126756,19497.00,1
1777321126789,19577.00,1
1777321126822,19657.00,1
1777321126855,19737.00,1
1777321126889,20585.00,1
1777321126922,20665.00,1
1777321126954,20732.00,1
1777321126986,20812.00,1
1777321127020,20892.00,1
1777321127053,20972.00,1
1777321127086,21052.00,1
1777321127119,21928.00,1
1777321127153,22008.00,1
1777321127186,22088.00,1
1777321127228,22168.00,1
1777321127262,22235.00,1
1777321127312,22315.00,1
1777321127338,23115.00,1
1777321127365,23208.00,1
1777321127393,23288.00,1
1777321127421,23368.00,1
1777321127452,23448.00,1
1777321127502,23528.00,1
1777321127531,24401.00,1
1777321127561,24481.00,1
1777321127592,24561.00,1
1777321127621,24628.00,1
1777321127651,24721.00,1
1777321127700,24801.00,1
1777321127731,24868.00,1
1777321127763,25787.00,1
1777321127794,25867.00,1
1777321127825,25947.00,1
1777321127855,26027.00,1
1777321127883,26107.00,1
1777321127919,26171.00,1
1777321127950,26247.00,1
1777321127981,27015.00,1
1777321128032,27136.00,1
1777321128062,27187.00,1
1777321128091,27267.00,1
1777321128122,27347.00,1
1777321128152,27405.00,1
1777321128182,28200.00,1
1777321128235,28336.00,1
1777321128269,28416.00,1
1777321128301,28496.00,1
1777321128332,28547.00,1
1777321128365,28627.00,1
1777321128399,29499.00,1
1777321128432,29579.00,1
1777321128464,29659.00,1
1777321128496,29764.00,1
1777321128533,29784.00,1
1777321128565,29864.00,1
1777321128605,29698.00,1
1777321128645,29987.00,1
1777321128678,29977.00,1
1777321128716,29964.00,1
1777321128755,29964.00,1
1777321128798,29906.00,1
1777321128837,29873.00,1
1777321128874,29873.00,1
1777321128909,29844.00,1
1777321128946,29831.00,1
1777321128983,29831.00,1
1777321129017,29908.00,1
1777321129056,29943.00,1
1777321129161,29883.00,1
1777321129186,29828.00,1
1777321129219,29850.00,1
1777321129248,29928.00,1
1777321129282,29848.00,1
1777321129309,29861.00,1
1777321129360,29781.00,1
1777321129387,29764.00,1
1777321129414,29819.00,1
1777321129463,29654.00,1
1777321129494,29654.00,1
1777321129522,29654.00,1
1777321129552,29654.00,1
1777321129582,29709.00,1
1777321129615,29654.00,1
1777321129646,29691.00,1
1777321129677,29766.00,1
1777321129708,29828.00,1
1777321129739,29841.00,1
1777321129791,29761.00,1
1777321129821,29828.00,1
1777321129854,29804.00,1
1777321129884,29863.00,1
1777321129916,29876.00,1
1777321129949,29821.00,1
1777321129979,29863.00,1
1777321130017,29767.00,1
1777321130049,29770.00,1
1777321130085,29811.00,1
1777321130119,29733.00,1
1777321130151,29800.00,1
1777321130183,29813.00,1
1777321130217,29733.00,1
1777321130250,29800.00,1
1777321130283,29771.00,1
1777321130319,29736.00,1
1777321130353,29736.00,1
1777321130386,29749.00,1
1777321130420,29778.00,1
1777321130453,29778.00,1
1777321130485,29778.00,1
1777321130517,29822.00,1
1777321130554,29713.00,1
1777321130587,29780.00,1
1777321130621,29780.00,1
1777321130654,29780.00,1
1777321130687,29780.00,1
1777321130749,29612.00,1
1777321130782,29705.00,1
1777321130812,29705.00,1
1777321130861,29625.00,1
1777321130891,29599.00,1
1777321130920,29663.00,1
1777321130949,29663.00,1
1777321130977,29717.00,1
1777321131007,29717.00,1
1777321131058,29746.00,1
1777321131087,29759.00,1
1777321131117,29759.00,1
1777321131147,29759.00,1
1777321131177,29813.00,1
1777321131206,29813.00,1
1777321131238,29813.00,1
1777321131289,29733.00,1
1777321131320,29733.00,1
1777321131353,29733.00,1
