Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777321123476,11980.00,0.00,260000.00,2265.00,0
1777321123560,36240.00,64.00,259569.06,6795.00,0
1777321123599,11680.00,280.00,260000.00,2265.00,0
1777321123630,11860.00,348.00,260000.00,2265.00,0
1777321123662,12010.00,454.00,260000.00,2265.00,0
1777321123690,12040.00,547.00,260000.00,2265.00,0
1777321123729,12180.00,627.00,260000.00,2265.00,0
1777321123757,11750.00,720.00,260000.00,2265.00,0
1777321123786,12120.00,800.00,260000.00,2265.00,0
1777321123815,12200.00,867.00,259470.23,2265.00,0
1777321123846,12020.00,960.00,259021.14,2265.00,0
1777321123893,12120.00,1040.00,260000.00,2265.00,0
1777321123921,12060.00,1107.00,260000.00,2265.00,0
1777321123950,11750.00,1200.00,259894.03,2265.00,0
1777321123980,11940.00,1280.00,259142.98,2265.00,0
1777321124030,12200.00,1360.00,260000.00,2265.00,0
1777321124061,12030.00,1440.00,260000.00,2265.00,0
1777321124094,11650.00,1520.00,260000.00,2265.00,0
1777321124130,12230.00,1600.00,260000.00,2265.00,0
1777321124160,12000.00,1680.00,260000.00,2265.00,0
1777321124191,12110.00,1760.00,260000.00,2265.00,0
1777321124247,24190.00,1840.00,259827.47,4530.00,0
1777321124285,11920.00,2000.00,260000.00,2265.00,0
1777321124313,12090.00,2067.00,260000.00,2265.00,0
1777321124346,11840.00,2147.00,260000.00,2265.00,0
1777321124380,11920.00,2227.00,260000.00,2265.00,0
1777321124414,11930.00,2307.00,260000.00,2265.00,0
1777321124444,11890.00,2387.00,260000.00,2265.00,0
1777321124477,11840.00,2480.00,260000.00,2265.00,0
1777321124511,11800.00,2560.00,260000.00,2265.00,0
1777321124544,11940.00,2640.00,260000.00,2265.00,0
1777321124575,11940.00,2720.00,260000.00,2265.00,0
1777321124606,12110.00,2800.00,260000.00,2265.00,0
1777321124640,12070.00,2880.00,260000.00,2265.00,0
1777321124670,11860.00,2947.00,258188.87,2265.00,0
1777321124718,11970.00,3040.00,260000.00,2265.00,0
1777321124746,12480.00,3120.00,260000.00,2265.00,0
1777321124773,11940.00,3200.00,259909.36,2265.00,0
1777321124821,12100.00,3280.00,260000.00,2265.00,0
1777321124849,11810.00,3360.00,260000.00,2265.00,0
1777321124883,12070.00,3440.00,260000.00,2265.00,0
1777321124911,11950.00,3507.00,260000.00,2265.00,0
1777321124940,11880.00,3599.00,259691.28,2265.00,0
1777321124981,11890.00,3680.00,260000.00,2265.00,0
1777321125007,11840.00,3747.00,260000.00,2265.00,0
1777321125033,12300.00,3827.00,258222.31,2265.00,0
1777321125079,12010.00,3920.00,260000.00,2265.00,0
1777321125105,12180.00,4000.00,259383.17,2265.00,0
1777321125155,12170.00,4080.00,260000.00,2265.00,0
1777321125181,12320.00,4147.00,260000.00,2265.00,0
1777321125206,12000.00,4240.00,260000.00,2265.00,0
1777321125262,12000.00,4320.00,260000.00,2265.00,0
1777321125287,11870.00,4400.00,260000.00,2265.00,0
1777321125314,11840.00,4480.00,259193.31,2265.00,0
1777321125364,12140.00,4560.00,260000.00,2265.00,0
1777321125394,12280.00,4627.00,260000.00,2265.00,0
1777321125425,11960.00,4707.00,260000.00,2265.00,0
1777321125457,11900.00,4787.00,259543.66,2265.00,0
1777321125487,11800.00,4867.00,259632.77,2265.00,0
1777321125517,11940.00,4947.00,258836.97,2265.00,0
1777321125546,12100.00,5027.00,258381.28,2265.00,0
1777321125597,11970.00,5120.00,260000.00,2265.00,0
1777321125628,11970.00,5200.00,260000.00,2265.00,0
1777321125658,11940.00,5280.00,260000.00,2265.00,0
1777321125686,11990.00,5360.00,260000.00,2265.00,0
1777321125722,12050.00,5440.00,260000.00,2265.00,0
1777321125754,12090.00,5520.00,260000.00,2265.00,0
1777321125784,12360.00,5587.00,260000.00,2265.00,0
1777321125815,12120.00,5667.00,260000.00,2265.00,0
1777321125846,12050.00,5747.00,259431.46,2265.00,0
1777321125874,12030.00,5827.00,258824.01,2265.00,0
1777321125921,11900.00,5920.00,260000.00,2265.00,0
1777321125948,12240.00,6000.00,260000.00,2265.00,0
1777321125976,11680.00,6080.00,258467.28,2265.00,0
1777321126027,12160.00,6160.00,260000.00,2265.00,0
1777321126059,11950.00,6227.00,260000.00,2265.00,0
1777321126090,11960.00,6307.00,260000.00,2265.00,0
1777321126123,11830.00,6387.00,260000.00,2265.00,0
1777321126157,12020.00,6467.00,260000.00,2265.00,0
1777321126189,12270.00,6560.00,260000.00,2265.00,0
1777321126220,11820.00,6640.00,260000.00,2265.00,0
1777321126249,12080.00,6720.00,260000.00,2265.00,0
