Timestamp,SystemLatency
1777321123456,0.0000
1777321123505,131.0000
1777321123553,88.9861
1777321123582,77.6087
1777321123614,76.9005
1777321123659,69.8096
1777321123683,71.2125
1777321123707,66.2083
1777321123752,63.3115
1777321123780,60.2543
1777321123809,57.1670
1777321123840,54.5044
1777321123870,52.0369
1777321123902,49.9259
1777321123958,48.2427
1777321123997,48.0650
1777321124031,48.0898
1777321124092,47.5265
1777321124126,47.3735
1777321124158,47.4138
1777321124191,47.4138
1777321124237,47.9075
1777321124281,47.8845
1777321124305,47.0533
1777321124332,46.1795
1777321124384,45.3263
1777321124412,45.0201
1777321124443,44.6418
1777321124471,44.2333
1777321124503,43.7957
1777321124535,42.4527
1777321124566,39.3692
1777321124597,39.0135
1777321124628,37.1299
1777321124682,36.2920
1777321124709,34.6752
1777321124735,34.2852
1777321124779,33.7246
1777321124804,33.8446
1777321124850,33.6083
1777321124876,33.9130
1777321124902,34.0876
1777321124958,34.4068
1777321124981,34.2588
1777321125005,34.0345
1777321125031,33.1710
1777321125076,31.9849
1777321125103,31.8474
1777321125150,31.0620
1777321125176,30.5591
1777321125205,29.9871
1777321125258,29.0390
1777321125284,27.8482
1777321125309,27.7261
1777321125356,27.4464
1777321125382,27.6344
1777321125429,27.1123
1777321125455,27.0189
1777321125483,26.7924
1777321125510,26.4715
1777321125557,26.6237
1777321125584,26.7292
1777321125631,26.6073
1777321125658,27.0164
1777321125684,26.8967
1777321125709,26.5697
1777321125755,26.1229
1777321125780,26.4663
1777321125804,26.3956
1777321125850,27.3586
1777321125874,27.1909
1777321125919,26.6747
1777321125943,26.3207
1777321125988,25.6874
1777321126013,25.5424
1777321126038,25.5805
1777321126083,25.2952
1777321126107,25.1426
1777321126153,25.6449
1777321126181,25.6722
1777321126207,25.6010
1777321126253,25.2602
1777321126278,25.0976
1777321126303,25.1182
1777321126350,25.1462
1777321126377,25.0963
1777321126406,25.1663
1777321126436,24.9393
1777321126486,24.6314
1777321126515,24.9946
1777321126543,24.8286
1777321126574,24.7595
1777321126603,24.7003
1777321126652,24.4016
1777321126680,24.2941
1777321126707,24.4124
1777321126736,24.7579
1777321126787,24.5752
1777321126815,24.8624
1777321126844,24.4860
1777321126872,24.2361
1777321126902,24.5021
1777321126952,24.1813
1777321126980,24.7970
1777321127009,24.9363
1777321127037,25.1246
1777321127065,25.5791
1777321127114,25.3485
1777321127143,25.4698
1777321127173,25.1188
1777321127203,24.7801
1777321127233,24.7232
1777321127284,24.5375
1777321127333,25.7114
1777321127358,25.7064
1777321127385,25.7373
1777321127431,25.4347
1777321127460,25.7495
1777321127487,25.8334
1777321127519,25.4215
1777321127549,25.1138
1777321127599,25.1621
1777321127629,25.8159
1777321127657,25.9590
1777321127687,25.7362
1777321127716,25.7013
1777321127767,25.3908
1777321127796,25.6244
1777321127827,25.4855
1777321127852,25.6376
1777321127897,26.4198
1777321127923,26.4293
1777321127952,26.9277
1777321127979,26.6518
1777321128025,27.0134
1777321128050,27.0506
1777321128098,26.6962
1777321128124,27.1163
1777321128150,26.9900
1777321128197,27.8128
1777321128223,28.2730
1777321128250,28.0836
1777321128297,28.2978
1777321128322,28.2917
1777321128346,27.1796
1777321128392,27.3946
1777321128417,27.3632
1777321128463,27.1330
1777321128487,27.3453
1777321128512,27.1269
1777321128559,27.4681
1777321128594,27.7900
1777321128620,27.7252
1777321128674,27.3072
1777321128701,27.8613
1777321128727,28.3746
1777321128754,28.8530
1777321128780,28.7726
1777321128829,28.3033
1777321128858,28.4950
1777321128887,28.2967
1777321128917,27.7712
1777321128950,27.7881
1777321128980,27.8019
1777321129031,27.3479
1777321129061,27.7180
1777321129120,28.3834
1777321129184,30.6345
1777321129213,32.4040
1777321129238,32.1131
1777321129290,32.3151
1777321129317,32.4626
1777321129343,32.7299
1777321129369,32.9468
1777321129415,32.2678
1777321129463,32.6553
1777321129489,33.0659
1777321129513,33.4260
1777321129537,33.1800
1777321129583,32.7459
1777321129613,32.7540
1777321129639,32.8519
1777321129686,32.3998
1777321129714,31.8480
1777321129741,31.4975
1777321129787,31.0348
1777321129812,31.6420
1777321129838,31.3954
1777321129883,30.7657
1777321129911,30.8286
1777321129935,30.6230
1777321129979,30.0475
1777321130010,30.4041
1777321130034,30.0181
1777321130083,29.2894
1777321130112,28.9510
1777321130136,28.7455
1777321130183,28.3500
1777321130210,23.9485
